"filename", "language", "C++", "CMake", "JSON", "YAML", "Dart", "Properties", "XML", "Gradle", "Markdown", "HTML", "Swift", "Project.pbxproj", "comment", "blank", "total"
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/flutter/generated_plugins.cmake", "CMake", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 541, 39, 249, 40, 2369, 8, 602, 94, 13, 38, 56, 1214, 436, 469, 6168
